"id";"weblink"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 1. Einschränkbarkeit des Grundrechts";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#1._Einschr%C3%A4nkbarkeit_des_Grundrechts"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 2. Verfassungsmäßigkeit der Rechtsgrundlage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#2._Verfassungsm%C3%A4%C3%9Figkeit_der_Rechtsgrundlage"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#3._Verfassungsm%C3%A4%C3%9Figkeit_der_Einzelentscheidung"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > a. werkgerechte Interpretation";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#a._werkgerechte_Interpretation"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > b. Verhältnismäßigkeit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#b._Verh%C3%A4ltnism%C3%A4%C3%9Figkeit"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > b. Verhältnismäßigkeit > aa. legitimer Zweck";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#aa._legitimer_Zweck"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > b. Verhältnismäßigkeit > bb. Geeignetheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#bb._Geeignetheit"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > b. Verhältnismäßigkeit > cc. Erforderlichkeit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#cc._Erforderlichkeit"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > B. Begründetheit > III. Rechtfertigung > 3. Verfassungsmäßigkeit der Einzelentscheidung > b. Verhältnismäßigkeit > dd. Angemessenheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#dd._Angemessenheit"
"Grundrechte-Klausur-und-Examensfälle > Fall 1 - Kunstfreiheit > Lösung > C. Ergebnis";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_1_L%C3%B6sung#C._Ergebnis"
"Grundrechte-Klausur-und-Examensfälle > Fall 2 - Berufsfreiheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_2"
"Grundrechte-Klausur-und-Examensfälle > Fall 2 - Berufsfreiheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_2#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 2 - Berufsfreiheit > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_2#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 2 - Berufsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_2_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 3 - Handlungsfreiheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_3"
"Grundrechte-Klausur-und-Examensfälle > Fall 3 - Handlungsfreiheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_3#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 3 - Handlungsfreiheit > Fallfragen";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_3#Fallfragen"
"Grundrechte-Klausur-und-Examensfälle > Fall 3 - Handlungsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_3_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 4 - Recht auf Gesundheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_4"
"Grundrechte-Klausur-und-Examensfälle > Fall 4 - Recht auf Gesundheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_4#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 4 - Recht auf Gesundheit > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_4#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 4 - Recht auf Gesundheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_4_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung > A. Zulässigkeit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung#A._Zul%C3%A4ssigkeit"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung > A. Zulässigkeit > I. Zuständigkeit des BVerfG";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung#I._Zust%C3%A4ndigkeit_des_Bundesverfassungsgerichts"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung > A. Zulässigkeit > II. Beschwerdefähigkeit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung#II._Beschwerdef%C3%A4higkeit"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung > A. Zulässigkeit > III. Beschwerdegegenstand";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung#III._Beschwerdegegenstand"
"Grundrechte-Klausur-und-Examensfälle > Fall 5 - Meinungsfreiheit > Lösung > A. Zulässigkeit > IV. Beschwerdebefugnis";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_5_L%C3%B6sung#IV._Beschwerdebefugnis"
